id,balance,duration,housing,loan,campaign,y,default
49,0.07280337,0.073810492,yes,no,1,no,yes
50,0.084524177,0.054087027,yes,no,1,no,yes
51,0.070588128,0.051443676,yes,no,1,no,yes
52,0.07280337,0.036396909,yes,no,1,no,yes
53,0.072113377,0.1600244,yes,no,1,no,yes
54,0.071868248,0.02948353,yes,yes,1,no,yes
55,0.075009533,0.035380236,no,yes,1,no,no
56,0.076652806,0.021146808,yes,no,1,no,yes
57,0.075581501,0.002643351,yes,no,1,no,yes
58,0.073021263,0.037616917,yes,no,1,no,yes
59,0.074428486,0.361529077,yes,no,1,no,yes
60,0.07280337,0.028060187,yes,no,1,no,yes
61,0.081782362,0.165107767,yes,no,1,no,yes
62,0.075064006,0.033346889,yes,no,1,no,yes
63,0.079975669,0.079503863,yes,no,1,no,yes
64,0.074201514,0.072590484,yes,no,1,no,yes
65,0.132088319,0.018503457,yes,no,1,no,yes
66,0.073711256,0.107360716,no,no,1,no,no
67,0.073339023,0.05551037,yes,no,1,no,yes
68,0.083743395,0.032126881,yes,no,2,no,yes
69,0.183774263,0.03599024,yes,yes,1,no,yes
70,0.126686398,0.05246035,yes,yes,1,no,yes
71,0.073030342,0.034973566,yes,yes,1,no,yes
72,0.075363608,0.031313542,yes,yes,1,no,yes
73,0.073012184,0.059170394,yes,no,1,no,yes
74,0.09038912,0.036803579,yes,no,1,no,yes
75,0.076289652,0.035786905,yes,no,1,no,yes
76,0.078087266,0.042903619,no,yes,1,no,no
77,0.073629546,0.070963806,no,no,1,no,no
78,0.07280337,0.055307035,yes,yes,1,no,yes
79,0.072812449,0.042293615,yes,no,1,no,yes
80,0.074673615,0.039243595,yes,no,1,no,yes
81,0.074292303,0.043106954,no,no,1,no,no
82,0.079067783,0.004066694,yes,no,1,no,yes
83,0.094075137,0.211874746,yes,no,1,yes,yes
84,0.074047174,0.050020333,yes,yes,1,no,yes
85,0.074374013,0.10756405,yes,no,2,no,yes
86,0.073211919,0.298291989,no,no,1,yes,no
87,0.084333521,0.282431883,yes,no,1,yes,yes
88,0.072948632,0.038226922,yes,yes,2,no,yes
89,0.077215696,0.036600244,yes,no,2,no,yes
90,0.073257313,0.009760065,no,no,1,no,no
91,0.074183357,0.043310289,yes,yes,2,no,yes
92,0.075436239,0.118544124,yes,no,1,no,yes
93,0.073293628,0.044936966,yes,no,1,no,yes
94,0.072467452,0.035176901,no,no,1,no,no
95,0.073720335,0.086620577,yes,yes,1,no,yes
96,0.076280573,0.058357056,no,no,1,no,no
97,0.073538758,0.020536804,yes,no,1,no,yes
98,0.07280337,0.041276942,yes,no,1,no,yes
99,0.074882429,0.040056934,yes,no,1,no,yes
100,0.066684219,0.052257015,yes,no,1,no,yes
101,0.073620467,0.025213501,no,no,1,no,no
102,0.073965464,0.046563644,yes,no,1,no,yes
103,0.074428486,0.011183408,yes,no,3,no,yes
104,0.07280337,0.081333876,yes,no,1,no,yes
105,0.073293628,0.040056934,yes,no,1,no,yes
106,0.074174278,0.038633591,yes,no,1,no,yes
107,0.07335718,0.004270028,no,yes,1,no,no
108,0.073075736,0.10451403,yes,no,1,no,yes
109,0.077551613,0.172631151,yes,no,2,no,yes
110,0.073084815,0.03944693,yes,no,1,no,yes
111,0.0735206,0.029280195,no,no,1,no,no
112,0.072494689,0.043106954,yes,yes,2,no,yes
113,0.076870699,0.058153721,yes,no,1,no,yes
114,0.073538758,0.021756812,yes,no,1,no,yes
115,0.074110726,0.050223668,yes,no,2,no,yes
116,0.07599005,0.105327369,yes,no,1,no,yes
117,0.072195087,0.074013827,yes,no,1,no,yes
118,0.075182031,0.036193575,no,no,1,no,no
119,0.07280337,0.0199268,no,no,1,no,no
120,0.073311786,0.089263928,yes,no,1,no,yes
121,0.07303942,0.01606344,yes,no,1,no,yes
122,0.072830607,0.024400163,yes,no,3,no,yes
123,0.073175603,0.025823505,yes,yes,2,no,yes
124,0.072866922,0.035583571,no,yes,1,no,no
125,0.07375665,0.053273688,yes,no,2,no,yes
126,0.080229877,0.012403416,yes,yes,1,no,yes
127,0.072658108,0.015860106,yes,yes,1,no,yes
128,0.07280337,0.029076861,yes,no,1,no,yes
129,0.095282625,0.117730785,yes,no,1,yes,yes
130,0.083561818,0.137657584,no,no,1,no,no
131,0.074773482,0.070150468,yes,no,1,no,yes
132,0.088101247,0.037616917,yes,no,1,no,yes
133,0.080084615,0.020333469,yes,yes,2,no,yes
134,0.07280337,0.025416836,yes,no,2,no,yes
135,0.073656783,0.039243595,yes,no,1,no,yes
136,0.07280337,0.027653518,yes,no,1,no,yes
137,0.07280337,0.014843432,no,no,1,no,no
138,0.07749714,0.107360716,yes,no,1,no,yes
139,0.075209268,0.110004067,yes,no,1,no,yes
140,0.08140105,0.033143554,yes,no,1,no,yes
141,0.072830607,0.061203741,yes,no,1,no,yes
142,0.073184682,0.009353396,no,no,1,no,no
143,0.073139288,0.041480277,yes,no,1,no,yes
144,0.073320865,0.0199268,yes,no,1,no,yes
145,0.073003105,0.014436763,yes,no,1,no,yes
146,0.072876001,0.031923546,yes,no,2,no,yes
147,0.075463476,0.049410329,yes,no,1,no,yes
148,0.072830607,0.037820252,yes,no,2,no,yes
149,0.075962813,0.117730785,yes,no,2,no,yes
150,0.072630872,0.033143554,yes,no,2,no,yes
151,0.07280337,0.12403416,yes,no,2,no,yes
152,0.072767055,0.413379423,yes,no,1,no,yes
153,0.07296679,0.017283449,yes,no,1,no,yes
154,0.074065331,0.023180155,no,no,2,no,no
155,0.07280337,0.023180155,yes,no,2,no,yes
156,0.089898862,0.011590077,yes,no,1,no,yes
157,0.074764404,0.048393656,yes,no,1,no,yes
158,0.079903038,0.018910126,yes,no,3,no,yes
159,0.081010659,0.02602684,yes,no,2,no,yes
160,0.088282825,0.021756812,yes,no,1,no,yes
161,0.073230076,0.036803579,yes,no,1,no,yes
162,0.074401249,0.061610411,yes,no,2,no,yes
163,0.083924972,0.113460756,yes,no,5,no,yes
164,0.073584152,0.054900366,yes,no,1,no,yes
165,0.073547837,0.046360309,yes,no,1,no,yes
166,0.075263741,0.020130134,yes,no,1,no,yes
167,0.085314038,0.048800325,yes,no,1,no,yes
168,0.07447388,0.136844246,no,no,2,yes,no
169,0.07280337,0.047376983,no,no,3,no,no
170,0.07280337,0.214721431,yes,no,1,no,yes
171,0.085123382,0.050833672,yes,yes,1,no,yes
172,0.072975868,0.051240342,yes,no,1,no,yes
173,0.076743595,0.028060187,no,no,1,no,no
174,0.073638625,0.02643351,yes,no,1,no,yes
175,0.083253137,0.083773892,yes,no,1,no,yes
176,0.073175603,0.036396909,yes,no,2,no,yes
177,0.073266392,0.003863359,yes,no,2,no,yes
178,0.074746246,0.093127288,yes,no,2,no,yes
179,0.083343925,0.145790972,yes,no,1,no,yes
180,0.073139288,0.063643758,yes,no,1,no,yes
181,0.079948432,0.138877593,yes,no,2,no,yes
182,0.073339023,0.21899146,yes,no,1,no,yes
183,0.075100321,0.084587231,yes,no,1,no,yes
184,0.074719009,0.029686865,yes,no,2,no,yes
185,0.074936902,0.033956893,yes,no,1,no,yes
186,0.112605088,0.064050427,yes,no,1,no,yes
187,0.109845115,0.028466856,no,no,1,no,no
188,0.07328455,0.070353802,yes,yes,1,no,yes
189,0.07280337,0.114274095,yes,no,1,no,yes
190,0.092114103,0.034973566,yes,no,1,no,yes
191,0.0762261,0.044123627,yes,no,1,no,yes
192,0.073466127,0.028873526,yes,no,2,no,yes
193,0.076843462,0.013623424,yes,no,1,no,yes
194,0.075009533,0.059170394,yes,no,1,no,yes
195,0.07559058,0.062830419,yes,no,2,no,yes
196,0.074210593,0.050427003,yes,no,1,no,yes
197,0.074374013,0.0199268,no,yes,1,no,no
198,0.076434914,0.05205368,yes,no,1,no,yes
199,0.085767981,0.016673444,yes,no,2,no,yes
200,0.07479164,0.117324115,yes,no,1,no,yes
201,0.072866922,0.058153721,yes,no,1,no,yes
202,0.078023714,0.096990647,yes,no,1,no,yes
203,0.07550887,0.124237495,yes,no,2,no,yes
204,0.07280337,0.095770638,yes,no,1,no,yes
205,0.124543787,0.077470516,yes,no,2,no,yes
206,0.074401249,0.008540057,yes,yes,1,no,yes
207,0.07749714,0.051037007,yes,no,1,no,yes
208,0.075136637,0.082960553,yes,no,1,no,yes
209,0.073311786,0.043716958,yes,no,1,no,yes
210,0.069262615,0.058357056,yes,no,1,no,yes
211,0.075799394,0.043920293,yes,no,2,no,yes
212,0.074573748,0.074420496,no,no,2,no,no
213,0.075536107,0.042700285,yes,no,1,no,yes
214,0.072431137,0.05856039,yes,no,1,no,yes
215,0.077188459,0.034160228,yes,no,1,no,yes
216,0.073057578,0.068727125,no,no,2,no,no
217,0.072921395,0.083367222,no,no,3,no,no
218,0.081564469,0.03599024,no,no,1,no,no
219,0.076235179,0.025823505,yes,yes,2,no,yes
220,0.07479164,0.072590484,yes,no,1,no,yes
221,0.07574492,0.035583571,yes,no,1,no,yes
222,0.072176929,0.061000407,yes,no,1,no,yes
223,0.07280337,0.027653518,no,yes,1,no,no
224,0.074664536,0.288531924,yes,no,1,no,yes
225,0.075327293,0.025416836,yes,no,2,no,yes
226,0.082472355,0.043310289,yes,no,3,no,yes
227,0.073112051,0.005490037,yes,no,1,no,yes
228,0.082181831,0.048393656,no,no,2,no,no
229,0.086122056,0.025213501,yes,no,1,no,yes
230,0.072694424,0.003660024,yes,no,1,no,yes
231,0.076325967,0.148434323,yes,no,2,no,yes
232,0.075472555,0.151687678,yes,no,2,no,yes
233,0.089390445,0.024603497,no,no,1,no,no
234,0.078495815,0.050223668,yes,no,1,no,yes
235,0.073030342,0.008133388,yes,no,1,no,yes
236,0.075663211,0.036803579,yes,no,2,no,yes
237,0.07280337,0.01606344,yes,no,1,no,yes
238,0.073402575,0.041886946,yes,no,1,no,yes
239,0.07272166,0.079097194,yes,yes,1,no,yes
240,0.075971892,0.025823505,yes,yes,1,no,yes
241,0.073711256,0.142740952,yes,no,1,no,yes
242,0.07280337,0.030703538,no,no,1,no,no
243,0.076743595,0.023790159,yes,no,1,no,yes
244,0.102191637,0.047173648,yes,no,3,no,yes
245,0.075300056,0.082960553,no,no,2,no,no
246,0.07280337,0.036396909,yes,no,2,no,yes
247,0.074682694,0.007930053,yes,no,1,no,yes
248,0.077188459,0.057340382,yes,no,1,no,yes
249,0.093212645,0.145180968,yes,no,2,no,yes
250,0.076689122,0.010166734,yes,no,1,no,yes
251,0.07280337,0.036803579,yes,yes,1,no,yes
252,0.07280337,0.028873526,yes,no,1,no,yes
253,0.07407441,0.046156974,yes,no,1,no,yes
254,0.075499791,0.024196828,yes,no,1,no,yes
255,0.075336372,0.073403823,yes,no,1,no,yes
256,0.080983422,0.014843432,yes,no,3,no,yes
257,0.096163274,0.013623424,yes,no,2,no,yes
258,0.074101647,0.071167141,yes,yes,1,no,yes
259,0.077115828,0.067507117,yes,no,2,no,yes
260,0.07343889,0.124237495,yes,no,2,no,yes
261,0.075690447,0.02297682,yes,no,2,no,yes
262,0.075300056,0.026840179,yes,no,1,no,yes
263,0.079539883,0.011793412,yes,no,3,no,yes
264,0.074945981,0.030703538,yes,no,1,no,yes
265,0.073030342,0.018096787,yes,no,2,no,yes
266,0.078250685,0.030906873,yes,no,1,no,yes
267,0.069634848,0.124237495,yes,no,2,no,yes
268,0.074464801,0.022366816,yes,yes,2,no,yes
269,0.07280337,0.094143961,yes,no,1,no,yes
270,0.07280337,0.114274095,yes,yes,2,yes,yes
271,0.07280337,0.195607971,yes,no,1,no,yes
272,0.08259038,0.002033347,yes,no,4,no,yes
273,0.074210593,0.023993493,no,no,3,no,no
274,0.074528353,0.018706791,yes,no,2,no,yes
275,0.075699526,0.029076861,yes,no,3,no,yes
276,0.071123781,0.038430256,yes,no,3,no,yes
277,0.073230076,0.047580317,no,no,2,no,no
278,0.07797832,0.015250102,yes,no,2,no,yes
279,0.072975868,0.038430256,no,no,2,no,no
280,0.07335718,0.126270842,yes,no,3,no,yes
281,0.072240481,0.011183408,yes,yes,2,no,yes
282,0.075145716,0.063033754,no,no,4,no,no
283,0.073493363,0.031720211,yes,no,2,no,yes
284,0.07280337,0.001016673,yes,no,2,no,yes
285,0.075999128,0.045750305,yes,no,2,no,yes
286,0.07614439,0.025416836,yes,no,2,no,yes
287,0.075881103,0.000406669,yes,no,3,no,yes
288,0.084887331,0.058153721,yes,no,2,no,yes
289,0.078904363,0.033346889,yes,no,2,no,yes
290,0.073329944,0.0199268,yes,no,2,no,yes
291,0.07686162,0.150874339,yes,no,2,no,yes
292,0.076643727,0.04595364,yes,no,3,no,yes
293,0.07280337,0.024400163,no,no,2,no,no
294,0.072975868,0.073607157,yes,no,4,no,yes
295,0.072921395,0.072590484,yes,no,2,no,yes
296,0.072830607,0.040666938,yes,no,2,no,yes
297,0.073547837,0.041480277,yes,no,2,no,yes
298,0.073057578,0.025620171,yes,no,3,no,yes
299,0.079993826,0.013216755,yes,no,2,no,yes
300,0.076507545,0.021756812,yes,no,2,no,yes
301,0.077624244,0.054290362,yes,no,2,no,yes
302,0.074719009,0.050427003,yes,no,2,no,yes
303,0.073366259,0.043716958,yes,no,2,no,yes
304,0.075136637,0.04249695,yes,no,2,no,yes
305,0.084006682,0.041683611,yes,no,2,no,yes
306,0.075645053,0.016876779,yes,no,2,no,yes
307,0.073611389,0.021553477,yes,no,3,no,yes
308,0.073974543,0.038430256,yes,yes,2,no,yes
309,0.07280337,0.021350142,yes,no,2,no,yes
310,0.076008207,0.021553477,yes,no,2,no,yes
311,0.080529479,0.021960146,yes,no,2,no,yes
312,0.073674941,0.063237088,yes,yes,2,no,yes
313,0.076416756,0.043513623,yes,yes,2,no,yes
314,0.07455559,0.026840179,no,no,2,no,no
315,0.069553139,0.072793819,yes,no,2,no,yes
316,0.077696875,0.092110614,yes,yes,2,no,yes
317,0.07280337,0.074013827,yes,no,2,no,yes
318,0.07280337,0.027653518,no,no,2,no,no
319,0.077252011,0.07848719,yes,no,2,no,yes
320,0.07280337,0.035176901,yes,no,2,no,yes
321,0.07646215,0.04900366,yes,no,2,no,yes
322,0.074265066,0.04554697,yes,no,3,no,yes
323,0.096027091,0.030093534,no,no,2,no,no
324,0.073693098,0.039853599,yes,no,2,no,yes
325,0.073847439,0.02257015,no,no,4,no,no
326,0.076761753,0.046970313,yes,no,3,no,yes
327,0.080347902,0.064253762,yes,no,3,no,yes
328,0.074673615,0.043920293,yes,no,3,no,yes
329,0.075436239,0.048800325,yes,no,2,no,yes
330,0.072812449,0.136030907,no,no,3,no,no
331,0.073320865,0.086417243,yes,no,2,no,yes
332,0.068654332,0.029076861,yes,no,2,no,yes
333,0.085395747,0.035380236,yes,no,5,no,yes
334,0.296125143,0.063643758,yes,no,3,no,yes
335,0.073075736,0.027450183,yes,no,4,no,yes
336,0.082081964,0.029686865,yes,no,2,no,yes
337,0.073311786,0.030906873,yes,yes,2,no,yes
338,0.072785212,0.081740545,no,no,3,no,no
339,0.073901912,0.043310289,yes,no,2,no,yes
340,0.080447769,0.029280195,yes,no,3,no,yes
341,0.079095019,0.025213501,yes,no,3,no,yes
342,0.06978011,0.037210248,yes,no,2,no,yes
343,0.086721261,0.066083774,yes,no,2,no,yes
344,0.073220998,0.007930053,yes,no,4,no,yes
345,0.07296679,0.102277349,no,no,2,no,no
346,0.07320284,0.019316795,yes,no,4,no,yes
347,0.071895484,0.138267588,yes,no,2,no,yes
348,0.077433588,0.085603904,yes,no,4,no,yes
349,0.079022388,0.035380236,yes,no,3,no,yes
350,0.074501117,0.02297682,yes,no,2,no,yes
351,0.073402575,0.164294429,yes,no,2,no,yes
352,0.077887531,0.040260268,yes,no,3,no,yes
353,0.07280337,0.039650264,yes,no,2,no,yes
354,0.073048499,0.070557137,no,no,3,no,no
355,0.072912316,0.042293615,yes,no,2,no,yes
356,0.073112051,0.082147214,yes,no,4,no,yes
357,0.082499591,0.080520537,yes,no,2,no,yes
358,0.074719009,0.043920293,yes,no,4,no,yes
359,0.0762261,0.0199268,yes,no,2,no,yes
360,0.07519111,0.071167141,yes,no,2,no,yes
361,0.084269969,0.023180155,yes,no,2,no,yes
362,0.072876001,0.017893453,yes,no,3,no,yes
363,0.073947306,0.077063847,yes,yes,2,no,yes
364,0.074891508,0.038633591,yes,no,3,no,yes
365,0.08043869,0.032126881,yes,no,1,no,yes
366,0.075599659,0.020740138,yes,no,1,no,yes
367,0.072812449,0.062220415,yes,no,1,no,yes
368,0.073584152,0.044326962,yes,no,1,no,yes
369,0.074228751,0.010980073,yes,no,1,no,yes
370,0.073003105,0.069947133,yes,no,1,no,yes
371,0.073220998,0.039650264,yes,yes,1,no,yes
372,0.084542335,0.132574217,no,no,1,no,no
373,0.073910991,0.058153721,yes,no,1,no,yes
374,0.073992701,0.038430256,yes,no,1,no,yes
375,0.074101647,0.016876779,yes,no,1,no,yes
376,0.076371362,0.037413583,no,no,2,no,no
377,0.073693098,0.047783652,yes,no,1,no,yes
378,0.07280337,0.05896706,yes,no,1,no,yes
379,0.074837034,0.047173648,yes,no,1,no,yes
380,0.079676066,0.027043514,yes,no,1,no,yes
381,0.075027691,0.064660431,yes,yes,1,no,yes
382,0.149846567,0.052867019,no,no,3,no,no
383,0.075980971,0.088857259,no,no,1,no,no
384,0.072984947,0.081740545,yes,no,1,no,yes
385,0.087937828,0.017283449,yes,yes,1,no,yes
386,0.075935576,0.025416836,yes,no,1,no,yes
387,0.072894159,0.101870679,yes,no,4,no,yes
388,0.080338823,0.244204961,yes,yes,1,yes,yes
389,0.073066657,0.051443676,yes,no,1,no,yes
390,0.077751348,0.20943473,yes,no,1,yes,yes
391,0.152061809,0.030296869,yes,no,1,no,yes
392,0.077133986,0.023180155,yes,no,1,no,yes
393,0.072839686,0.049410329,yes,no,1,no,yes
394,0.083743395,0.156364376,yes,no,2,no,yes
395,0.07280337,0.027450183,yes,yes,3,no,yes
396,0.07519111,0.046970313,yes,no,1,no,yes
397,0.072812449,0.015453436,no,no,1,no,no
398,0.075372687,0.040463603,no,yes,1,no,no
399,0.074673615,0.030906873,yes,no,1,no,yes
400,0.072957711,0.025213501,yes,no,1,no,yes
401,0.074083489,0.086213908,yes,yes,1,no,yes
402,0.072948632,0.008743392,yes,no,1,no,yes
403,0.074673615,0.031313542,yes,no,1,no,yes
404,0.072866922,0.041276942,no,no,2,no,no
405,0.07280337,0.066287109,no,no,1,no,no
406,0.07280337,0.079910533,no,no,1,no,no
407,0.090298331,0.04900366,yes,no,3,no,yes
408,0.075381766,0.098210655,yes,no,1,no,yes
409,0.087874276,0.052663684,yes,no,1,no,yes
410,0.076489387,0.046156974,yes,no,1,no,yes
411,0.074891508,0.136844246,yes,no,1,no,yes
412,0.072576399,0.117120781,yes,no,1,no,yes
413,0.074455722,0.036600244,yes,no,2,no,yes
414,0.083416556,0.034160228,yes,no,2,no,yes
415,0.073411654,0.018300122,yes,no,1,no,yes
416,0.073502442,0.102684018,no,no,1,no,no
417,0.07280337,0.049816999,yes,no,1,no,yes
418,0.073302707,0.037820252,yes,yes,1,no,yes
419,0.073457048,0.126677511,yes,no,1,no,yes
420,0.074283224,0.100854006,yes,no,3,no,yes
421,0.074174278,0.023993493,yes,no,1,no,yes
422,0.073829281,0.069540464,yes,no,1,no,yes
423,0.07280337,0.045750305,yes,no,1,no,yes
424,0.07288508,0.037616917,yes,no,3,no,yes
425,0.076207942,0.039853599,yes,no,2,no,yes
426,0.083171427,0.056120374,yes,no,1,no,yes
427,0.091887132,0.015453436,yes,no,1,no,yes
428,0.112069435,0.017690118,yes,no,1,no,yes
429,0.074773482,0.039650264,yes,no,1,no,yes
430,0.073992701,0.151281009,yes,no,1,no,yes
431,0.088055853,0.155551037,yes,no,1,no,yes
432,0.07280337,0.053273688,yes,no,1,no,yes
433,0.073220998,0.024196828,yes,no,1,no,yes
434,0.075708605,0.040260268,yes,no,2,no,yes
435,0.074464801,0.030500203,yes,no,1,no,yes
436,0.073157446,0.04900366,no,no,1,no,no
437,0.077887531,0.036803579,yes,no,1,no,yes
438,0.077061355,0.039853599,no,no,1,no,no
439,0.077615165,0.030296869,yes,no,1,no,yes
440,0.07335718,0.050020333,yes,no,1,no,yes
441,0.075000454,0.022773485,yes,no,1,no,yes
442,0.074065331,0.062830419,yes,no,2,no,yes
443,0.07280337,0.056527044,yes,no,1,no,yes
444,0.076135311,0.028466856,yes,no,1,no,yes
445,0.07487335,0.027653518,yes,no,1,no,yes
446,0.483603581,0.3300122,yes,no,1,yes,yes
447,0.072040746,0.020536804,yes,no,1,no,yes
448,0.075617816,0.029280195,yes,no,1,no,yes
449,0.074001779,0.048393656,yes,no,1,no,yes
450,0.080039221,0.07198048,yes,no,1,no,yes
451,0.073447969,0.01606344,no,no,1,no,no
452,0.072821528,0.038023587,yes,no,1,no,yes
453,0.074900586,0.091703945,yes,yes,2,no,yes
454,0.075254662,0.032330216,yes,yes,1,no,yes
455,0.075290977,0.083163888,yes,yes,1,no,yes
456,0.071813774,0.034566897,yes,yes,1,no,yes
457,0.072812449,0.123627491,yes,no,1,yes,yes
458,0.072258639,0.049410329,no,no,1,no,no
459,0.073611389,0.02948353,yes,no,2,no,yes
460,0.072703503,0.022773485,no,no,1,no,no
461,0.07280337,0.053273688,yes,no,2,no,yes
462,0.068182231,0.025213501,yes,no,1,no,yes
463,0.076507545,0.010776739,yes,no,1,no,yes
464,0.073329944,0.027246848,yes,no,1,no,yes
465,0.087692699,0.041480277,no,yes,4,no,no
466,0.072984947,0.037820252,yes,no,1,no,yes
467,0.073447969,0.137860919,yes,no,1,no,yes
468,0.073275471,0.037006913,yes,no,1,no,yes
469,0.075454397,0.03294022,yes,no,1,no,yes
470,0.076652806,0.005490037,yes,no,1,no,yes
471,0.073792966,0.142130948,yes,no,3,no,yes
472,0.082281699,0.008743392,yes,no,1,no,yes
473,0.081727888,0.019723465,yes,no,1,no,yes
474,0.080692899,0.340992273,no,no,1,yes,no
475,0.078868048,0.057543717,yes,no,2,no,yes
476,0.08155539,0.065677105,yes,no,1,no,yes
477,0.075536107,0.016673444,yes,no,1,no,yes
478,0.07407441,0.063033754,yes,no,1,no,yes
479,0.089844388,0.037616917,yes,no,1,no,yes
480,0.083035244,0.00955673,yes,no,1,no,yes
481,0.080711056,0.02948353,yes,no,1,no,yes
482,0.079766855,0.041480277,yes,yes,1,no,yes
483,0.07280337,0.038023587,no,no,1,no,no
484,0.074700852,0.006100041,yes,no,2,no,yes
485,0.07280337,0.095973973,no,no,1,no,no
486,0.073802045,0.091093941,yes,yes,1,no,yes
487,0.072113377,0.053680358,yes,yes,1,no,yes
488,0.074419407,0.034363562,yes,no,1,no,yes
489,0.072204165,0.05856039,yes,no,1,no,yes
490,0.07280337,0.035786905,yes,no,2,no,yes
491,0.072812449,0.043716958,yes,no,1,no,yes
492,0.07280337,0.06852379,yes,no,1,no,yes
493,0.121329871,0.056527044,no,no,1,no,no
494,0.070905889,0.038226922,yes,no,2,no,yes
495,0.07280337,0.035380236,yes,no,2,no,yes
496,0.073184682,0.04595364,yes,no,2,no,yes
497,0.073175603,0.038633591,yes,no,1,no,yes
498,0.071904563,0.02257015,yes,no,2,no,yes
499,0.072957711,0.033346889,yes,no,1,no,yes
500,0.075309135,0.031923546,yes,yes,2,no,yes
501,0.071259964,0.009353396,no,no,1,no,no
502,0.074891508,0.076047174,yes,yes,1,no,yes
503,0.07288508,0.070963806,yes,no,1,no,yes
504,0.081391971,0.066083774,yes,no,1,no,yes
505,0.08457865,0.047376983,yes,no,2,no,yes
506,0.069798268,0.10797072,yes,no,1,no,yes
507,0.07320284,0.031110207,yes,no,1,no,yes
508,0.072939553,0.016266775,no,no,1,no,no
509,0.079267518,0.047173648,yes,no,1,no,yes
510,0.122146969,0.023993493,yes,no,1,no,yes
511,0.077406352,0.038633591,yes,no,1,no,yes
512,0.076316888,0.186661244,yes,no,1,yes,yes
513,0.07280337,0.048393656,yes,yes,1,no,yes
514,0.088382692,0.016673444,yes,no,1,no,yes
515,0.07431954,0.040260268,yes,yes,3,no,yes
516,0.073166524,0.03253355,no,yes,2,no,no
517,0.074147041,0.042903619,yes,no,1,no,yes
518,0.072957711,0.024400163,yes,yes,1,no,yes
519,0.081982096,0.027653518,yes,no,1,no,yes
520,0.086666788,0.054697031,yes,no,1,no,yes
521,0.079558041,0.031923546,no,no,1,no,no
522,0.077197538,0.02602684,yes,no,1,no,yes
523,0.07280337,0.042903619,yes,no,1,no,yes
524,0.074038095,0.054290362,yes,no,2,no,yes
525,0.084923647,0.07543717,yes,no,2,no,yes
526,0.07749714,0.05856039,yes,no,2,no,yes
527,0.076970566,0.044936966,yes,no,1,no,yes
528,0.077787664,0.086823912,yes,no,1,no,yes
529,0.073556915,0.063033754,yes,yes,1,no,yes
530,0.074737167,0.032126881,no,no,1,no,no
531,0.074646378,0.122814152,yes,no,3,no,yes
532,0.077506219,0.040260268,yes,no,1,no,yes
533,0.108002106,0.02948353,yes,no,1,no,yes
534,0.08402484,0.050223668,yes,no,1,no,yes
535,0.079666987,0.036396909,yes,no,2,no,yes
536,0.074228751,0.014843432,yes,no,1,no,yes
537,0.072204165,0.053477023,yes,no,2,no,yes
538,0.075027691,0.002643351,yes,no,1,no,yes
